tag,content
Taylor Swift,i stay out too late got nothing in my brain that's what people say that's what people say i go on too many dates but i can't make them stay at least that's what people say that's what people say but i keep cruising can't stop  won't stop moving it's like i got this music in my mind saying it's gonna be alright i never miss a beat i'm lightning on my feet and that's what they don't see that's what they don't see players gonna play  play  play  play  play and the haters gonna hate  hate  hate  hate  hate (haters gonna hate) baby  i'm just gonna shake  shake  shake  shake  shake i shake it off  i shake it off heartbreakers gonna break fakers gonna fake i'm just gonna shake i shake it off  i shake it off i shake it off  i shake it off i  i  i shake it off  i shake it off i  i  i shake it off  shake it off i  i  i shake it off  i shake it off i  i  i shake it off  i shake it off i  i  i shake it off  i shake it off i  i  i  shake it off  i shake it off i  i  i  shake it off  i shake it off
Taylor Swift,you're on the phone with your girlfriend  she's upset she's going off about something that you said 'cause she doesn't get your humor like i do i'm in the room  it's a typical tuesday night i'm listening to the kind of music she doesn't like and she'll never know your story like i do but she wears short skirts i wear t-shirts she's cheer captain  and i'm on the bleachers dreaming about the day when you wake up and find that what you're looking for has been here the whole time if you could see that i'm the one who understands you been here all along so  why can't you see? you belong with me you belong with me walk in the streets with you in your worn-out jeans i can't help thinking this is how it ought to be laughing on a park bench thinking to myself hey  isn't this easy? and you've got a smile that can light up this whole town i haven't seen it in a while since she brought you down you say you're fine  i know you better than that hey  what you doing with a girl like that? she wears high heels i wear sneakers she's cheer captain  and i'm on the bleachers dreaming about the day when you wake up and find that what you're looking for has been here the whole time if you could see that i'm the one who understands you been here all along so  why can't you see? you belong with me standing by and waiting at your backdoor all this time how could you not know  baby? you belong with me you belong with me oh  i remember you driving to my house in the middle of the night i'm the one who makes you laugh when you know you're 'bout to cry and i know your favorite songs and you tell me 'bout your dreams think i know where you belong think i know it's with me can't you see that i'm the one who understands you? been here all along so  why can't you see? you belong with me standing by and waiting at your backdoor all this time how could you not know  baby? you belong with me you belong with me you belong with me have you ever thought just maybe you belong with me? you belong with me
Taylor Swift,nice to meet you where you been? i could show you incredible things magic  madness  heaven  sin saw you there and i thought "oh  my god  look at that face you look like my next mistake love's a game  wanna play?" ay new money  suit and tie i can read you like a magazine ain't it funny? rumors fly and i know you heard about me so hey  let's be friends i'm dying to see how this one ends grab your passport and my hand i can make the bad guys good for a weekend so it's gonna be forever or it's gonna go down in flames you can tell me when it's over  mm if the high was worth the pain got a long list of ex-lovers they'll tell you i'm insane 'cause you know i love the players and you love the game 'cause we're young  and we're reckless we'll take this way too far it'll leave you breathless  mm or with a nasty scar got a long list of ex-lovers they'll tell you i'm insane but i've got a blank space  baby and i'll write your name cherry lips  crystal skies i could show you incredible things stolen kisses  pretty lies you're the king  baby  i'm your queen find out what you want be that girl for a month wait  the worst is yet to come  oh  no screaming  crying  perfect storms i can make all the tables turn rose garden filled with thorns keep you second guessing like "oh  my god  who is she?" i get drunk on jealousy but you'll come back each time you leave 'cause  darling  i'm a nightmare dressed like a daydream so it's gonna be forever or it's gonna go down in flames you can tell me when it's over  mm if the high was worth the pain got a long list of ex-lovers they'll tell you i'm insane 'cause you know i love the players and you love the game 'cause we're young  and we're reckless (oh) we'll take this way too far it'll leave you breathless  mm (oh) or with a nasty scar got a long list of ex-lovers they'll tell you i'm insane (insane) but i've got a blank space  baby and i'll write your name boys only want love if it's torture don't say i didn't  say i didn't warn ya boys only want love if it's torture don't say i didn't  say i didn't warn ya so it's gonna be forever or it's gonna go down in flames you can tell me when it's over (over) if the high was worth the pain got a long list of ex-lovers they'll tell you i'm insane (i'm insane) 'cause you know i love the players and you love the game 'cause we're young  and we're reckless we'll take this way too far (ooh) it'll leave you breathless  mm or with a nasty scar (leave a nasty scar) got a long list of ex-lovers they'll tell you i'm insane but i've got a blank space  baby and i'll write your name
Taylor Swift,we were both young when I first saw you I close my eyes and the flashback starts I'm standing there on a balcony in summer air see the lights see the party the ballgowns see you make your way through the crowd you say hello little did i know that you were romeo you were throwing pebbles and my daddy said stay away from juliet and i was crying on the stair case begging you please don't go and i said romeo take me somewhere we can be alone i'll be waiting all you hvae to do is run you'll be the prince and i'll be the princess it's a love story baby just say yes so i sneak out to the garden to see you we keep quiet cuz we're dead if they knew so close your eyes escape this town for a little while cause you were romeo i was a scarlet letter and my daddy said stay away from juliet but you were everything to me i was begging you please don't go and i said romeo take me somewhere we can be alone i'll be waiting all you have to do is run you'll be the prince and ill be the princess its a love story baby just say yes romeo save me they're tryna tell me how to feel this love is difficult but it's real don't be afraid we'll make it out of this mess it's a love story baby just say yes oh oh i got tired of waiting wondering if you were ever comin around my faith in you was fading when i met you on the outskirts of town and i said romeo save me i've been feeling so alone i keep waiting for you but you never come is this in my head i don't know what to think he knelt to the ground and pulled out a ring and said marry me juliet you'll never have to be alone i love you and thats all i really know i talked to your dad go pick out a white dress it's a love story baby just say yes oh oh cause we were both young when i first saw you
Taylor Swift,once upon a time a few mistakes ago i was in your sights you got me alone you found me you found me you found me i guess you didn't care and i guess i liked that and when i fell hard you took a step back without me without me without me and he's long gone when he's next to me and i realize the blame is on me 'cause i knew you were trouble when you walked in so shame on me now flew me to places i'd never been 'til you put me down  oh i knew you were trouble when you walked in so  shame on me now flew me to places i'd never been now i'm lyin' on the cold hard ground oh  oh trouble  trouble  trouble oh  oh trouble  trouble  trouble no apologies he'll never see you cry pretends he doesn't know that he's the reason why you're drowning you're drowning you're drowning and i heard you moved on from whispers on the street a new notch in your belt is all i'll ever be and now i see now i see now i see he was long gone when he met me and i realize the joke is on me  hey i knew you were trouble when you walked in (oh) so shame on me now flew me to places i'd never been 'til you put me down  oh i knew you were trouble when you walked in so shame on me now flew me to places i'd never been  yeah now i'm lyin' on the cold hard ground oh  oh (yeah) trouble  trouble  trouble oh  oh trouble  trouble  trouble and the saddest fear comes creepin' in that you never loved me or her or anyone or anything yeah i knew you were trouble when you walked in so shame on me now flew me to places i'd never been (never been) 'til you put me down  oh i knew you were trouble when you walked in (knew it right there) so shame on me now (knew it right there) flew me to places i'd never been (ooh) now i'm lyin' on the cold hard ground oh  oh trouble  trouble  trouble (oh) oh  oh trouble  trouble  trouble i knew you were trouble when you walked in trouble  trouble  trouble i knew you were trouble when you walked in trouble  trouble  trouble
Taylor Swift,i remember when we broke up the first time saying  "this is it  i've had enough " 'cause like we hadn't seen each other in a month when you said you needed space. (what?) then you come around again and say "baby  i miss you and i swear i'm gonna change  trust me." remember how that lasted for a day? i say  "i hate you " we break up  you call me  "i love you." ooh  we called it off again last night but ooh  this time i'm telling you  i'm telling you we are never ever ever getting back together we are never ever ever getting back together you go talk to your friends  talk to my friends  talk to me but we are never ever ever ever getting back together like  ever i'm really gonna miss you picking fights and me falling for it screaming that i'm right and you would hide away and find your peace of mind with some indie record that's much cooler than mine ooh  you called me up again tonight but ooh  this time i'm telling you  i'm telling you we are never  ever  ever getting back together we are never  ever  ever getting back together you go talk to your friends  talk to my friends  talk to me (talk to me) but we are never ever ever ever getting back together ooh  yeah  ooh yeah  ooh yeah oh oh oh i used to think that we were forever ever and i used to say  "never say never..." uggg... so he calls me up and he's like  "i still love you " and i'm like... "i just... i mean this is exhausting  you know  like we are never getting back together. like  ever" no! we are never ever ever getting back together we are never ever ever getting back together you go talk to your friends  talk to my friends  talk to me but we are never ever ever ever getting back together we  ooh  getting back together  ohhh we  ooh  getting back together you go talk to your friends  talk to my friends  talk to me (talk to me) but we are never ever ever ever getting back together
Taylor Swift,been sitting eyes wide open behind these four walls hoping you'd call it's just a cruel existence like there's no point hoping at all baby baby i feel crazy up all night all night and every day give me something oh but you say nothing what is happening to me? i don't wanna live forever 'cause i know i'll be living in vain and i don't wanna fit wherever i just wanna keep calling your name until you come back home i just wanna keep calling your name until you come back home i just wanna keep calling your name until you come back home i'm sitting eyes wide open and i got one thing stuck in my mind wondering if i dodged a bullet or just lost the love of my life baby baby i feel crazy up all night all night and every day i gave you something but you gave me nothing what is happening to me? i don't wanna live forever 'cause i know i'll be living in vain and i don't wanna fit (fit babe) wherever (wherever) i just wanna keep calling your name until you come back home i just wanna keep calling your name until you come back home i just wanna keep calling your name until you come back home i've been looking sad in all the nicest places baby baby i feel crazy i see you around in all these empty faces all night all night and every day i've been looking sad in all the nicest places give me something oh but you say nothing now i'm in a cab i tell 'em where your place is what is happening to me? i don't wanna live forever 'cause i know i'll be living in vain and i don't wanna fit wherever i just wanna keep calling your name until you come back home i just wanna keep calling your name until you come back home i just wanna keep calling your name until you come back home i just wanna keep calling your name until you come back home i just wanna keep calling your name until you come back home i just wanna keep calling your name until you come back home until you come back home
Taylor Swift,i have this thing where i get older but just never wiser midnights become my afternoons when my depression works the graveyard shift all of the people i've ghosted stand there in the room i should not be left to my own devices they come with prices and vices i end up in crisis (tale as old as time) i wake up screaming from dreaming one day i'll watch as you're leaving 'cause you got tired of my scheming (for the last time) it's me hi i'm the problem it's me at tea time everybody agrees i'll stare directly at the sun but never in the mirror it must be exhausting always rooting for the anti-hero sometimes i feel like everybody is a sexy baby and i'm a monster on the hill too big to hang out slowly lurching toward your favorite city pierced through the heart but never killed did you hear my covert narcissism i disguise as altruism like some kind of congressman? (tale as old as time) i wake up screaming from dreaming one day i'll watch as you're leaving and life will lose all its meaning (for the last time) it's me hi i'm the problem it's me (i'm the problem it's me) at tea time everybody agrees i'll stare directly at the sun but never in the mirror it must be exhausting always rooting for the anti-hero i have this dream my daughter in-law kills me for the money she thinks i left them in the will the family gathers 'round and reads it and then someone screams out "she's laughing up at us from hell" it's me hi i'm the problem it's me it's me hi i'm the problem it's me it's me hi everybody agrees everybody agrees it's me hi (hi) i'm the problem it's me (i'm the problem it's me) at tea (tea) time (time) everybody agrees (everybody agrees) i'll stare directly at the sun but never in the mirror it must be exhausting always rooting for the anti-hero
Taylor Swift,fever dream high in the quiet of the night you know that i caught it bad bad boy shiny toy with a price you know that i bought it killing me slow out the window i'm always waiting for you to be waiting below devils roll the dice angels roll their eyes what doesn't kill me makes me want you more and it's new the shape of your body it's blue the feeling i've got and it's ooh whoa oh it's a cruel summer it's cool that's what i tell 'em no rules in breakable heaven but ooh whoa oh it's a cruel summer with you hang your head low in the glow of the vending machine i'm not dying you say that we'll just screw it up in these trying times we're not trying so cut the headlights summer's a knife i'm always waiting for you just to cut to the bone devils roll the dice angels roll their eyes and if i bleed you'll be the last to know oh it's new the shape of your body it's blue the feeling i've got and it's ooh whoa oh it's a cruel summer it's cool that's what i tell 'em no rules in breakable heaven but ooh whoa oh it's a cruel summer with you i'm drunk in the back of the car and i cried like a baby coming home from the bar (oh) said "i'm fine " but it wasn't true i don't wanna keep secrets just to keep you and i snuck in through the garden gate every night that summer just to seal my fate (oh) and i screamed for whatever it's worth "i love you " ain't that the worst thing you ever heard? he looks up grinning like a devil it's new the shape of your body it's blue the feeling i've got and it's ooh whoa oh it's a cruel summer it's cool that's what i tell 'em no rules in breakable heaven but ooh whoa oh it's a cruel summer with you i'm drunk in the back of the car and i cried like a baby coming home from the bar (oh) said "i'm fine " but it wasn't true i don't wanna keep secrets just to keep you and i snuck in through the garden gate every night that summer just to seal my fate (oh) and i screamed for whatever it's worth "i love you " ain't that the worst thing you ever heard?
Taylor Swift,we could leave the christmas lights up 'til january and this is our place we make the rules and there's a dazzling haze a mysterious way about you dear have i known you 20 seconds or 20 years? can i go where you go? can we always be this close forever and ever? and ah take me out and take me home you're my my my my lover we could let our friends crash in the living room this is our place we make the call and i'm highly suspicious that everyone who sees you wants you i've loved you three summers now honey but i want 'em all can i go where you go? can we always be this close forever and ever? and ah take me out and take me home (forever and ever) you're my my my my lover ladies and gentlemen will you please stand? with every guitar string scar on my hand i take this magnetic force of a man to be my lover my heart's been borrowed and yours has been blue all's well that ends well to end up with you swear to be overdramatic and true to my lover and you'll save all your dirtiest jokes for me and at every table i'll save you a seat lover can i go where you go? can we always be this close forever and ever? and ah take me out and take me home (forever and ever) you're my my my my oh you're my my my my darling you're my my my my lover
